Eon,TransitionMechanism,FinalScaleFactor_a,PeakEntropy_kB,BekensteinLimit_kB,CoreMassFraction_pct,FossilOdometerTotal_s,CPUSteps,Duration_seconds,Timestamp
48,CCC (Muerte Térmica),7.0,1591.8,3500.0,0.0,18920.0,398053,6467.0,2026-08-19 05:49:43
49,CCC (Muerte Térmica),7.0,816.1,3500.0,0.0,19083.2,398053,6385.9,2026-08-19 07:36:09
50,Rebote Gravitatorio (Túnel Cuántico),2.115,3500.1,3500.0,19.97,19197.8,72382,1189.1,2026-08-19 07:55:58
51,CCC (Muerte Térmica),7.0,627.0,3500.0,0.0,19341.0,398053,6891.4,2026-08-19 09:50:49
52,Rebote Gravitatorio (Túnel Cuántico),2.029,3755.3,3500.0,18.0,19737.1,66672,1262.1,2026-08-19 10:11:51
53,Rebote Gravitatorio (Túnel Cuántico),2.342,3500.1,3500.0,20.58,19862.7,87509,1644.1,2026-08-19 10:39:16
54,Rebote Gravitatorio (Túnel Cuántico),2.398,3500.0,3500.0,19.58,19975.7,91240,1543.4,2026-08-19 11:04:59
55,Rebote Gravitatorio (Túnel Cuántico),2.058,3500.1,3500.0,19.94,20106.6,68592,1232.4,2026-08-19 11:25:31
56,CCC (Muerte Térmica),7.0,648.7,3500.0,0.0,20207.7,398053,6647.3,2026-08-19 13:16:19
57,Rebote Gravitatorio (Túnel Cuántico),1.922,3500.0,3500.0,18.32,20376.0,59526,986.6,2026-08-19 13:32:45
58,Rebote Gravitatorio (Túnel Cuántico),2.128,3500.1,3500.0,19.89,20440.7,73220,1307.3,2026-08-19 13:54:33
59,CCC (Muerte Térmica),7.0,830.0,3500.0,0.0,21223.0,398053,7121.3,2026-08-19 15:53:14
60,Rebote Gravitatorio (Túnel Cuántico),1.922,3500.1,3500.0,18.21,21393.9,59507,1077.6,2026-08-19 16:11:12
61,Rebote Gravitatorio (Túnel Cuántico),2.206,3500.1,3500.0,18.41,21672.0,78451,1405.9,2026-08-19 16:34:38
